pies,Nombre,GLA,MLA,SLA,GLO,MLO,SLO,País
22 175 ,Cerro Bonete Chico,27,52,0,68,49,0﻿, Argentina
22 293 ,Monte Pissis,27,45,16.6,68,47,55.8﻿, Argentina
22 608 ,Nevado Ojos del Salado,27,06,35,68,32,29﻿, Argentina Chile
21 463 ,Nevado Sajama,18,06,14,68,52,53﻿, Bolivia
21 749 ,Nevado Tres Cruces Central,27,04,07,68,47,11﻿, Argentina Chile
22 139 ,Nevado Tres Cruces Sur,27,05,53,68,46,41﻿, Argentina Chile
21 328 ,Volcán Ata,27,10,55,68,34,34﻿, Argentina Chile
21 778 ,Volcán Incahuasi,27,02,0,68,18,0﻿, Argentina Chile
22 109 ,Volcán Llullaillaco,24,43,47,68,32,45﻿, Argentina Chile
21 555 ,Volcán Tupungato,33,21,21,69,46,10.2﻿, Argentina Chile
21 843 ,Volcán Walther Penck,27,12,0,68,33,0﻿, Argentina
